,city,lat,lng
457,Brussels,50.8467,4.3525
1477,Antwerp,51.2178,4.4003
2565,Gent,51.0536,3.7253
3235,Charleroi,50.4,4.4333
3290,Liège,50.6397,5.5706
4811,Anderlecht,50.8333,4.3333
5096,Bruges,51.2089,3.2242
5441,Namur,50.4667,4.8667
5576,Moortebeek,50.8547,4.3386
5869,Leuven,50.8833,4.7
6166,Mechelen,51.0278,4.4806
6209,Deurne,51.2247,4.4625
6706,Laeken,50.8778,4.3558
6741,Forest,50.8131,4.3247
6757,Etterbeek,50.8333,4.3833
6815,Jette,50.8667,4.3333
7217,Evere,50.8667,4.4
7271,Merksem,51.2428,4.4414
7346,Borgerhout,51.2117,4.4407
7425,Vilvoorde,50.9281,4.4245
7448,Berchem,51.1833,4.4167
7473,Hoboken,51.1667,4.3667
7667,Wilrijk,51.1667,4.3833
7691,Koekelberg,50.8667,4.3333
7988,Sint-Joost-ten-Node,50.85,4.3833
8004,Ganshoren,50.8667,4.3167
8462,Mortsel,51.1667,4.4667
8612,Saint-Nicolas,50.6333,5.5333
8673,Sint-Amandsberg,51.0539,3.7492
8862,Ekeren,51.2833,4.4167
8879,Edegem,51.15,4.45
9169,Assebroek,51.2,3.25
9265,Boom,51.0833,4.3667
9287,Neder-Over-Heembeek,50.9,4.3833
9409,Wondelgem,51.0889,3.7131
9874,Mariakerke,51.0728,3.6761
9938,Wezembeek-Oppem,50.8333,4.5
9941,Kraainem,50.8619,4.4572
10337,Hemiksem,51.15,4.35
10340,Borsbeek,51.2,4.4833
12014,Mons,50.45,3.95
12255,Aalst,50.9383,4.0392
12640,La Louvière,50.4667,4.1833
12696,Sint-Niklaas,51.1667,4.1333
12836,Kortrijk,50.8333,3.2667
12852,Hasselt,50.9305,5.3385
13196,Ostend,51.2258,2.9194
13438,Tournai,50.6056,3.3881
13683,Genk,50.9662,5.5021
13751,Seraing,50.5833,5.5
13798,Roeselare,50.9447,3.1233
14350,Mouscron,50.7333,3.2167
14665,Verviers,50.5833,5.85
15766,Beveren,51.2,4.25
16065,Beringen,51.0333,5.2167
16091,Dendermonde,51.0333,4.1
16364,Turnhout,51.3167,4.95
16405,Deinze,50.9833,3.5333
16618,Dilbeek,50.8333,4.25
16623,Heist-op-den-Berg,51.0833,4.7167
16646,Lokeren,51.1,3.9833
17007,Herstal,50.6667,5.6333
17040,Geel,51.1667,5.0
17133,Sint-Truiden,50.8167,5.1833
17243,Braine-l’Alleud,50.6806,4.3717
17347,Ninove,50.8333,4.0167
17394,Halle,50.7361,4.2372
